,"(mm) Precipitation (TerraClimate) at karawang, Jan 1958 to Dec 2022"
"1958-01-01",249
"1958-02-01",320
"1958-03-01",230
"1958-04-01",133
"1958-05-01",150
"1958-06-01",61
"1958-07-01",177
"1958-08-01",88
"1958-09-01",88
"1958-10-01",86
"1958-11-01",136
"1958-12-01",269
"1959-01-01",186
"1959-02-01",250
"1959-03-01",211
"1959-04-01",146
"1959-05-01",164
"1959-06-01",113
"1959-07-01",70
"1959-08-01",7
"1959-09-01",13
"1959-10-01",60
"1959-11-01",161
"1959-12-01",171
"1960-01-01",346
"1960-02-01",327
"1960-03-01",196
"1960-04-01",257
"1960-05-01",130
"1960-06-01",59
"1960-07-01",82
"1960-08-01",26
"1960-09-01",52
"1960-10-01",89
"1960-11-01",204
"1960-12-01",165
"1961-01-01",397
"1961-02-01",239
"1961-03-01",99
"1961-04-01",114
"1961-05-01",166
"1961-06-01",33
"1961-07-01",1
"1961-08-01",4
"1961-09-01",2
"1961-10-01",10
"1961-11-01",157
"1961-12-01",158
"1962-01-01",322
"1962-02-01",303
"1962-03-01",173
"1962-04-01",108
"1962-05-01",68
"1962-06-01",140
"1962-07-01",103
"1962-08-01",46
"1962-09-01",44
"1962-10-01",149
"1962-11-01",141
"1962-12-01",271
"1963-01-01",317
"1963-02-01",279
"1963-03-01",130
"1963-04-01",70
"1963-05-01",61
"1963-06-01",14
"1963-07-01",6
"1963-08-01",0
"1963-09-01",8
"1963-10-01",59
"1963-11-01",102
"1963-12-01",170
"1964-01-01",210
"1964-02-01",170
"1964-03-01",141
"1964-04-01",125
"1964-05-01",130
"1964-06-01",57
"1964-07-01",28
"1964-08-01",62
"1964-09-01",98
"1964-10-01",160
"1964-11-01",199
"1964-12-01",184
"1965-01-01",432
"1965-02-01",291
"1965-03-01",158
"1965-04-01",98
"1965-05-01",102
"1965-06-01",60
"1965-07-01",26
"1965-08-01",6
"1965-09-01",22
"1965-10-01",32
"1965-11-01",147
"1965-12-01",192
"1966-01-01",236
"1966-02-01",197
"1966-03-01",222
"1966-04-01",92
"1966-05-01",148
"1966-06-01",64
"1966-07-01",4
"1966-08-01",4
"1966-09-01",47
"1966-10-01",131
"1966-11-01",162
"1966-12-01",241
"1967-01-01",217
"1967-02-01",326
"1967-03-01",188
"1967-04-01",120
"1967-05-01",36
"1967-06-01",3
"1967-07-01",6
"1967-08-01",1
"1967-09-01",2
"1967-10-01",39
"1967-11-01",160
"1967-12-01",267
"1968-01-01",216
"1968-02-01",292
"1968-03-01",178
"1968-04-01",117
"1968-05-01",210
"1968-06-01",149
"1968-07-01",140
"1968-08-01",75
"1968-09-01",80
"1968-10-01",40
"1968-11-01",124
"1968-12-01",239
"1969-01-01",280
"1969-02-01",233
"1969-03-01",150
"1969-04-01",149
"1969-05-01",91
"1969-06-01",107
"1969-07-01",21
"1969-08-01",12
"1969-09-01",115
"1969-10-01",87
"1969-11-01",127
"1969-12-01",166
"1970-01-01",253
"1970-02-01",315
"1970-03-01",289
"1970-04-01",164
"1970-05-01",173
"1970-06-01",152
"1970-07-01",37
"1970-08-01",13
"1970-09-01",51
"1970-10-01",142
"1970-11-01",304
"1970-12-01",205
"1971-01-01",264
"1971-02-01",325
"1971-03-01",178
"1971-04-01",115
"1971-05-01",147
"1971-06-01",99
"1971-07-01",32
"1971-08-01",9
"1971-09-01",28
"1971-10-01",192
"1971-11-01",192
"1971-12-01",205
"1972-01-01",317
"1972-02-01",216
"1972-03-01",309
"1972-04-01",114
"1972-05-01",108
"1972-06-01",6
"1972-07-01",20
"1972-08-01",10
"1972-09-01",1
"1972-10-01",19
"1972-11-01",147
"1972-12-01",185
"1973-01-01",268
"1973-02-01",334
"1973-03-01",247
"1973-04-01",152
"1973-05-01",185
"1973-06-01",132
"1973-07-01",53
"1973-08-01",56
"1973-09-01",123
"1973-10-01",156
"1973-11-01",166
"1973-12-01",205
"1974-01-01",182
"1974-02-01",239
"1974-03-01",198
"1974-04-01",142
"1974-05-01",152
"1974-06-01",76
"1974-07-01",97
"1974-08-01",76
"1974-09-01",133
"1974-10-01",141
"1974-11-01",152
"1974-12-01",192
"1975-01-01",314
"1975-02-01",250
"1975-03-01",182
"1975-04-01",156
"1975-05-01",143
"1975-06-01",81
"1975-07-01",46
"1975-08-01",34
"1975-09-01",102
"1975-10-01",223
"1975-11-01",184
"1975-12-01",172
"1976-01-01",357
"1976-02-01",138
"1976-03-01",242
"1976-04-01",157
"1976-05-01",70
"1976-06-01",37
"1976-07-01",18
"1976-08-01",40
"1976-09-01",31
"1976-10-01",111
"1976-11-01",235
"1976-12-01",199
"1977-01-01",373
"1977-02-01",486
"1977-03-01",286
"1977-04-01",157
"1977-05-01",122
"1977-06-01",203
"1977-07-01",9
"1977-08-01",10
"1977-09-01",35
"1977-10-01",30
"1977-11-01",136
"1977-12-01",229
"1978-01-01",234
"1978-02-01",199
"1978-03-01",228
"1978-04-01",87
"1978-05-01",138
"1978-06-01",193
"1978-07-01",125
"1978-08-01",79
"1978-09-01",113
"1978-10-01",115
"1978-11-01",159
"1978-12-01",227
"1979-01-01",291
"1979-02-01",217
"1979-03-01",160
"1979-04-01",168
"1979-05-01",209
"1979-06-01",114
"1979-07-01",37
"1979-08-01",32
"1979-09-01",92
"1979-10-01",110
"1979-11-01",207
"1979-12-01",289
"1980-01-01",251
"1980-02-01",250
"1980-03-01",193
"1980-04-01",115
"1980-05-01",83
"1980-06-01",58
"1980-07-01",100
"1980-08-01",71
"1980-09-01",84
"1980-10-01",168
"1980-11-01",196
"1980-12-01",268
"1981-01-01",306
"1981-02-01",171
"1981-03-01",156
"1981-04-01",178
"1981-05-01",109
"1981-06-01",95
"1981-07-01",88
"1981-08-01",13
"1981-09-01",75
"1981-10-01",98
"1981-11-01",182
"1981-12-01",227
"1982-01-01",303
"1982-02-01",207
"1982-03-01",167
"1982-04-01",172
"1982-05-01",66
"1982-06-01",78
"1982-07-01",15
"1982-08-01",8
"1982-09-01",4
"1982-10-01",71
"1982-11-01",106
"1982-12-01",257
"1983-01-01",261
"1983-02-01",249
"1983-03-01",191
"1983-04-01",148
"1983-05-01",141
"1983-06-01",34
"1983-07-01",115
"1983-08-01",4
"1983-09-01",2
"1983-10-01",151
"1983-11-01",206
"1983-12-01",191
"1984-01-01",278
"1984-02-01",264
"1984-03-01",231
"1984-04-01",94
"1984-05-01",155
"1984-06-01",80
"1984-07-01",40
"1984-08-01",62
"1984-09-01",150
"1984-10-01",114
"1984-11-01",133
"1984-12-01",179
"1985-01-01",276
"1985-02-01",160
"1985-03-01",99
"1985-04-01",205
"1985-05-01",102
"1985-06-01",95
"1985-07-01",127
"1985-08-01",16
"1985-09-01",65
"1985-10-01",128
"1985-11-01",159
"1985-12-01",148
"1986-01-01",317
"1986-02-01",236
"1986-03-01",245
"1986-04-01",136
"1986-05-01",58
"1986-06-01",103
"1986-07-01",137
"1986-08-01",68
"1986-09-01",175
"1986-10-01",130
"1986-11-01",216
"1986-12-01",196
"1987-01-01",295
"1987-02-01",245
"1987-03-01",192
"1987-04-01",149
"1987-05-01",113
"1987-06-01",96
"1987-07-01",11
"1987-08-01",4
"1987-09-01",37
"1987-10-01",34
"1987-11-01",166
"1987-12-01",247
"1988-01-01",293
"1988-02-01",249
"1988-03-01",289
"1988-04-01",87
"1988-05-01",159
"1988-06-01",80
"1988-07-01",41
"1988-08-01",21
"1988-09-01",14
"1988-10-01",143
"1988-11-01",211
"1988-12-01",213
"1989-01-01",273
"1989-02-01",319
"1989-03-01",163
"1989-04-01",176
"1989-05-01",194
"1989-06-01",123
"1989-07-01",102
"1989-08-01",43
"1989-09-01",22
"1989-10-01",50
"1989-11-01",179
"1989-12-01",277
"1990-01-01",288
"1990-02-01",281
"1990-03-01",129
"1990-04-01",126
"1990-05-01",102
"1990-06-01",100
"1990-07-01",66
"1990-08-01",120
"1990-09-01",39
"1990-10-01",50
"1990-11-01",156
"1990-12-01",294
"1991-01-01",293
"1991-02-01",259
"1991-03-01",256
"1991-04-01",173
"1991-05-01",63
"1991-06-01",14
"1991-07-01",12
"1991-08-01",0
"1991-09-01",23
"1991-10-01",25
"1991-11-01",254
"1991-12-01",261
"1992-01-01",290
"1992-02-01",245
"1992-03-01",219
"1992-04-01",179
"1992-05-01",182
"1992-06-01",104
"1992-07-01",52
"1992-08-01",85
"1992-09-01",113
"1992-10-01",211
"1992-11-01",237
"1992-12-01",252
"1993-01-01",317
"1993-02-01",245
"1993-03-01",246
"1993-04-01",170
"1993-05-01",101
"1993-06-01",164
"1993-07-01",44
"1993-08-01",50
"1993-09-01",42
"1993-10-01",86
"1993-11-01",176
"1993-12-01",247
"1994-01-01",343
"1994-02-01",316
"1994-03-01",295
"1994-04-01",208
"1994-05-01",100
"1994-06-01",50
"1994-07-01",15
"1994-08-01",13
"1994-09-01",17
"1994-10-01",68
"1994-11-01",107
"1994-12-01",144
"1995-01-01",316
"1995-02-01",254
"1995-03-01",235
"1995-04-01",154
"1995-05-01",108
"1995-06-01",158
"1995-07-01",191
"1995-08-01",3
"1995-09-01",87
"1995-10-01",148
"1995-11-01",238
"1995-12-01",149
"1996-01-01",327
"1996-02-01",334
"1996-03-01",161
"1996-04-01",169
"1996-05-01",91
"1996-06-01",63
"1996-07-01",55
"1996-08-01",61
"1996-09-01",71
"1996-10-01",247
"1996-11-01",240
"1996-12-01",217
"1997-01-01",265
"1997-02-01",131
"1997-03-01",132
"1997-04-01",164
"1997-05-01",110
"1997-06-01",12
"1997-07-01",13
"1997-08-01",2
"1997-09-01",2
"1997-10-01",11
"1997-11-01",117
"1997-12-01",201
"1998-01-01",181
"1998-02-01",298
"1998-03-01",332
"1998-04-01",147
"1998-05-01",131
"1998-06-01",156
"1998-07-01",148
"1998-08-01",57
"1998-09-01",109
"1998-10-01",235
"1998-11-01",184
"1998-12-01",174
"1999-01-01",304
"1999-02-01",269
"1999-03-01",148
"1999-04-01",159
"1999-05-01",129
"1999-06-01",99
"1999-07-01",92
"1999-08-01",7
"1999-09-01",39
"1999-10-01",164
"1999-11-01",256
"1999-12-01",244
"2000-01-01",265
"2000-02-01",238
"2000-03-01",113
"2000-04-01",161
"2000-05-01",166
"2000-06-01",90
"2000-07-01",50
"2000-08-01",20
"2000-09-01",39
"2000-10-01",88
"2000-11-01",288
"2000-12-01",77
"2001-01-01",300
"2001-02-01",337
"2001-03-01",204
"2001-04-01",146
"2001-05-01",64
"2001-06-01",108
"2001-07-01",133
"2001-08-01",24
"2001-09-01",77
"2001-10-01",210
"2001-11-01",302
"2001-12-01",90
"2002-01-01",444
"2002-02-01",136
"2002-03-01",257
"2002-04-01",98
"2002-05-01",45
"2002-06-01",58
"2002-07-01",91
"2002-08-01",19
"2002-09-01",7
"2002-10-01",12
"2002-11-01",141
"2002-12-01",372
"2003-01-01",148
"2003-02-01",385
"2003-03-01",309
"2003-04-01",87
"2003-05-01",90
"2003-06-01",36
"2003-07-01",28
"2003-08-01",37
"2003-09-01",41
"2003-10-01",210
"2003-11-01",204
"2003-12-01",210
"2004-01-01",216
"2004-02-01",316
"2004-03-01",197
"2004-04-01",218
"2004-05-01",180
"2004-06-01",78
"2004-07-01",46
"2004-08-01",5
"2004-09-01",25
"2004-10-01",30
"2004-11-01",136
"2004-12-01",257
"2005-01-01",293
"2005-02-01",423
"2005-03-01",293
"2005-04-01",118
"2005-05-01",133
"2005-06-01",198
"2005-07-01",110
"2005-08-01",26
"2005-09-01",88
"2005-10-01",87
"2005-11-01",156
"2005-12-01",195
"2006-01-01",328
"2006-02-01",410
"2006-03-01",200
"2006-04-01",189
"2006-05-01",82
"2006-06-01",32
"2006-07-01",40
"2006-08-01",0
"2006-09-01",0
"2006-10-01",22
"2006-11-01",95
"2006-12-01",275
"2007-01-01",159
"2007-02-01",569
"2007-03-01",133
"2007-04-01",201
"2007-05-01",137
"2007-06-01",125
"2007-07-01",24
"2007-08-01",27
"2007-09-01",41
"2007-10-01",64
"2007-11-01",149
"2007-12-01",426
"2008-01-01",274
"2008-02-01",348
"2008-03-01",190
"2008-04-01",182
"2008-05-01",94
"2008-06-01",78
"2008-07-01",7
"2008-08-01",32
"2008-09-01",61
"2008-10-01",96
"2008-11-01",217
"2008-12-01",200
"2009-01-01",325
"2009-02-01",255
"2009-03-01",194
"2009-04-01",101
"2009-05-01",192
"2009-06-01",91
"2009-07-01",15
"2009-08-01",2
"2009-09-01",48
"2009-10-01",95
"2009-11-01",257
"2009-12-01",180
"2010-01-01",285
"2010-02-01",208
"2010-03-01",288
"2010-04-01",159
"2010-05-01",177
"2010-06-01",180
"2010-07-01",148
"2010-08-01",80
"2010-09-01",237
"2010-10-01",206
"2010-11-01",217
"2010-12-01",167
"2011-01-01",112
"2011-02-01",192
"2011-03-01",188
"2011-04-01",120
"2011-05-01",179
"2011-06-01",76
"2011-07-01",51
"2011-08-01",0
"2011-09-01",30
"2011-10-01",77
"2011-11-01",186
"2011-12-01",202
"2012-01-01",282
"2012-02-01",202
"2012-03-01",134
"2012-04-01",164
"2012-05-01",70
"2012-06-01",51
"2012-07-01",12
"2012-08-01",0
"2012-09-01",0
"2012-10-01",68
"2012-11-01",278
"2012-12-01",404
"2013-01-01",236
"2013-02-01",341
"2013-03-01",175
"2013-04-01",92
"2013-05-01",149
"2013-06-01",139
"2013-07-01",187
"2013-08-01",30
"2013-09-01",56
"2013-10-01",25
"2013-11-01",120
"2013-12-01",212
"2014-01-01",338
"2014-02-01",242
"2014-03-01",130
"2014-04-01",120
"2014-05-01",97
"2014-06-01",108
"2014-07-01",136
"2014-08-01",12
"2014-09-01",43
"2014-10-01",36
"2014-11-01",151
"2014-12-01",223
"2015-01-01",288
"2015-02-01",352
"2015-03-01",226
"2015-04-01",157
"2015-05-01",75
"2015-06-01",13
"2015-07-01",2
"2015-08-01",7
"2015-09-01",1
"2015-10-01",2
"2015-11-01",185
"2015-12-01",189
"2016-01-01",175
"2016-02-01",369
"2016-03-01",164
"2016-04-01",149
"2016-05-01",116
"2016-06-01",140
"2016-07-01",94
"2016-08-01",59
"2016-09-01",159
"2016-10-01",239
"2016-11-01",225
"2016-12-01",178
"2017-01-01",302
"2017-02-01",275
"2017-03-01",202
"2017-04-01",163
"2017-05-01",156
"2017-06-01",147
"2017-07-01",74
"2017-08-01",11
"2017-09-01",87
"2017-10-01",182
"2017-11-01",213
"2017-12-01",183
"2018-01-01",126
"2018-02-01",323
"2018-03-01",228
"2018-04-01",188
"2018-05-01",57
"2018-06-01",217
"2018-07-01",11
"2018-08-01",8
"2018-09-01",27
"2018-10-01",64
"2018-11-01",173
"2018-12-01",170
"2019-01-01",189
"2019-02-01",265
"2019-03-01",222
"2019-04-01",258
"2019-05-01",79
"2019-06-01",24
"2019-07-01",13
"2019-08-01",6
"2019-09-01",5
"2019-10-01",50
"2019-11-01",104
"2019-12-01",275
"2020-01-01",414
"2020-02-01",418
"2020-03-01",236
"2020-04-01",175
"2020-05-01",196
"2020-06-01",49
"2020-07-01",34
"2020-08-01",20
"2020-09-01",47
"2020-10-01",146
"2020-11-01",164
"2020-12-01",223
"2021-01-01",299
"2021-02-01",377
"2021-03-01",215
"2021-04-01",122
"2021-05-01",93
"2021-06-01",148
"2021-07-01",50
"2021-08-01",60
"2021-09-01",86
"2021-10-01",109
"2021-11-01",249
"2021-12-01",201
"2022-01-01",172
"2022-02-01",204
"2022-03-01",152
"2022-04-01",145
"2022-05-01",133
"2022-06-01",169
"2022-07-01",86
"2022-08-01",40
"2022-09-01",100
"2022-10-01",216
"2022-11-01",161
"2022-12-01",209